YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1857,M,M,M,M,M,M,6.00,3.80,1.25,M,M,3.83,14.88
1858,1.80,2.40,1.10,2.44,2.30,4.60,M,M,M,M,M,M,14.64
1869,1.80,3.70,3.70,3.60,3.85,6.40,1.50,1.90,1.50,1.80,2.30,5.60,37.65
1870,3.50,2.30,4.50,2.60,6.94,2.90,5.70,3.80,2.00,2.00,1.80,2.50,40.54
1871,1.13,5.90,5.30,3.50,3.60,4.10,3.20,7.40,2.40,2.80,2.20,0.20,41.73
1872,1.10,1.60,1.70,2.13,2.00,3.70,4.20,5.60,2.20,2.70,1.60,4.40,32.93
1873,3.50,9.60,3.30,1.80,5.30,2.00,1.10,4.50,2.10,0.90,4.50,2.50,41.10
1874,3.00,3.60,2.60,7.60,2.70,3.70,11.40,3.40,2.80,2.00,3.60,1.90,48.30
1875,6.20,6.20,8.60,4.30,1.40,1.90,5.10,5.80,2.30,0.70,1.60,3.70,47.80
1876,2.80,2.40,3.90,2.56,6.10,7.50,4.10,3.91,2.13,1.99,1.91,1.84,41.14
1877,1.56,0.63,2.87,6.87,1.48,5.57,5.17,2.30,1.50,5.75,6.01,3.26,42.97
1878,3.50,3.65,2.38,4.32,2.82,5.18,4.49,3.94,3.81,4.50,4.00,2.70,45.29
1879,3.49,1.25,1.64,2.64,2.51,1.37,4.50,5.10,0.70,7.00,1.75,5.43,37.38
1880,1.07,1.48,6.60,M,M,M,M,M,M,M,M,M,9.15
1884,M,M,M,M,M,M,M,M,M,M,1.20,2.92,4.12
1885,4.32,1.55,M,1.01,3.79,2.33,M,M,M,8.34,4.80,3.60,29.74
1887,2.18,2.71,0.60,2.02,4.13,1.40,2.65,1.19,M,1.80,0.37,2.07,21.12
1888,0.94,1.75,0.00,0.02,6.47,1.49,4.40,2.42,10.94,3.57,3.75,2.74,38.49
1889,2.59,1.68,0.43,1.45,5.47,4.77,5.39,5.81,4.28,0.49,4.72,0.97,38.05
1890,1.42,5.30,2.50,3.93,4.44,1.13,5.86,6.78,3.86,3.77,0.29,2.44,41.72
1891,4.45,8.13,6.54,1.86,5.09,2.75,5.67,7.86,3.25,0.78,3.60,3.25,53.23
1892,6.52,1.47,3.03,6.01,2.76,7.03,4.93,1.64,3.05,0.26,3.94,1.60,42.24
1893,3.29,4.74,2.99,1.55,3.80,3.91,2.12,6.24,7.42,5.36,3.89,1.19,46.50
1894,2.44,3.81,1.56,1.21,3.19,2.99,4.94,3.73,3.08,2.68,0.54,4.10,34.27
1895,4.92,1.70,3.95,4.04,4.90,2.33,2.32,5.03,0.85,0.21,2.78,3.78,36.81
1896,3.38,2.84,1.92,2.50,4.11,4.46,6.64,0.87,3.87,0.87,5.57,0.84,37.87
1897,1.75,6.35,6.03,3.81,3.59,6.09,4.40,3.20,0.54,2.70,1.37,3.23,43.06
1898,3.60,0.37,2.95,3.42,3.04,6.01,6.07,1.65,6.05,5.99,1.84,2.51,43.50
1899,2.17,7.34,9.04,2.86,1.96,3.35,3.33,2.87,1.98,1.39,1.35,3.01,40.65
1900,2.26,4.67,5.53,4.18,0.99,8.11,1.99,2.54,3.39,2.92,4.62,3.46,44.66
1901,2.48,0.91,5.22,4.56,6.24,2.76,4.91,10,3.78,1.04,0.67,8.77,51.38
1902,1.63,6.86,0.53,1.95,2.00,4.50,2.25,1.27,6.21,1.43,1.90,2.30,32.83
1903,1.61,7.02,7.06,4.38,1.14,5.55,5.59,3.12,0.82,1.77,2.32,0.80,41.18
1904,1.42,2.06,4.34,1.64,3.17,4.01,2.61,3.55,2.13,0.02,3.10,2.02,30.07
1905,2.85,3.49,2.13,3.11,5.59,2.92,11.71,4.08,1.13,1.93,0.26,6.36,45.56
1906,6.69,1.04,3.62,2.35,2.83,6.70,4.60,3.89,5.72,3.44,2.54,1.91,45.33
1907,0.27,1.12,2.69,3.89,3.33,3.06,2.52,2.84,4.57,0.50,3.00,3.74,31.53
1908,3.63,3.10,2.87,3.77,3.06,0.91,7.56,7.44,2.32,7.27,0.83,3.59,46.35
1909,1.58,3.60,5.05,3.75,7.75,7.74,5.54,4.58,2.59,3.28,0.07,3.19,48.72
1910,2.42,2.39,0.72,1.72,4.65,5.44,4.65,9.12,1.52,2.64,0.35,2.48,38.10
1911,1.62,2.19,3.03,4.87,2.69,1.35,2.49,8.63,2.26,3.83,2.20,2.60,37.76
1912,1.10,2.86,4.70,4.17,2.94,4.02,4.64,1.88,3.51,1.54,2.00,0.90,34.26
1913,2.95,1.59,5.42,3.24,5.12,2.90,3.16,2.41,4.15,2.52,0.81,2.52,36.79
1914,0.89,2.24,2.34,3.13,0.71,5.34,3.31,5.48,2.09,5.83,4.06,6.51,41.93
1915,3.41,2.78,2.00,1.09,4.53,4.74,2.78,4.26,4.09,3.33,2.20,5.01,40.22
1916,2.54,3.73,1.74,1.35,3.60,5.15,9.28,2.80,1.72,2.86,1.36,1.57,37.70
1917,2.58,2.21,5.76,2.80,1.30,4.43,3.84,4.58,4.42,1.81,0.27,1.48,35.48
1918,4.56,1.98,2.25,2.74,4.38,6.53,2.74,5.07,3.00,11.32,1.78,4.73,51.08
1919,4.70,2.01,4.23,2.11,3.84,4.05,3.88,1.77,0.30,1.93,0.54,2.09,31.45
1920,1.90,1.95,5.65,5.43,2.06,2.42,3.75,7.09,4.20,0.47,3.15,4.97,43.04
1921,3.35,3.85,2.12,2.97,2.85,4.74,5.15,2.86,1.57,2.25,2.31,1.38,35.40
1922,2.84,4.06,4.69,3.37,2.59,3.68,4.55,1.64,1.19,3.36,0.26,4.93,37.16
1923,2.03,2.06,4.96,2.57,5.71,2.66,4.54,2.75,2.64,0.87,1.83,2.72,35.34
1924,3.74,2.79,2.56,3.58,3.07,1.91,5.70,2.24,4.23,1.21,0.41,4.03,35.47
1925,2.74,1.85,2.45,2.45,2.15,1.97,0.77,0.22,1.92,2.74,2.43,1.10,22.79
1926,3.39,2.50,3.04,1.68,2.37,1.85,4.48,4.00,0.94,1.29,3.51,3.19,32.24
1927,1.16,3.25,2.79,1.61,2.20,4.47,3.85,2.76,1.14,3.43,2.76,6.41,35.83
1928,1.15,0.96,3.95,4.53,5.53,4.45,3.78,9.08,4.85,3.77,0.89,0.55,43.49
1929,1.89,4.56,5.85,2.76,5.16,4.27,3.13,0.82,9.32,4.75,2.43,1.40,46.34
1930,1.48,0.67,1.66,1.72,2.56,2.96,1.12,1.78,4.23,1.00,2.84,2.45,24.47
1931,1.84,1.24,2.59,4.71,2.20,3.44,2.09,4.01,1.12,0.49,0.43,6.49,30.65
1932,3.99,2.81,3.47,3.48,0.84,2.83,2.74,1.60,2.21,6.35,3.03,4.84,38.19
1933,1.54,2.90,2.29,2.59,4.23,3.28,3.50,4.34,1.79,1.61,1.19,1.04,30.30
1934,1.66,3.04,5.07,2.89,2.29,5.50,4.50,1.59,3.90,3.57,4.53,1.78,40.32
1935,4.68,2.05,3.34,3.68,3.06,2.36,6.22,3.05,3.85,1.93,3.46,1.38,39.06
1936,7.15,3.78,6.42,4.38,1.44,2.58,6.77,3.40,5.30,3.85,1.15,4.84,51.06
1937,6.87,2.73,0.74,3.51,2.45,4.13,4.18,5.29,0.67,5.89,0.64,1.57,38.67
1938,2.59,1.04,4.20,1.47,3.29,3.24,4.90,2.67,4.72,0.22,4.85,2.22,35.41
1939,3.94,5.72,2.56,2.38,2.78,4.21,3.79,5.14,1.61,0.82,0.77,2.08,35.80
1940,2.13,2.61,2.85,3.26,1.99,3.10,4.03,13.75,0.35,1.12,1.36,2.79,39.34
1941,1.13,0.65,3.18,1.80,1.51,3.67,9.61,2.46,0.28,1.35,1.28,3.40,30.32
1942,2.18,3.49,4.69,1.08,4.63,2.07,3.95,3.89,5.39,1.72,0.51,5.43,39.03
1943,3.43,2.12,4.00,2.89,3.96,8.28,6.81,2.17,2.05,0.59,1.62,1.59,39.51
1944,2.52,6.46,5.30,2.73,2.85,1.97,6.24,2.76,3.42,2.06,1.95,2.27,40.53
1945,1.76,4.22,3.55,4.87,2.87,5.04,3.75,3.82,4.47,2.95,2.96,4.83,45.09
1946,4.40,4.29,4.85,3.09,3.87,1.08,6.49,1.78,1.31,5.69,1.21,1.86,39.92
1947,6.04,1.16,2.22,2.42,1.93,3.50,3.56,4.27,1.85,3.39,3.17,1.66,35.17
1948,2.55,3.45,4.41,1.34,2.64,4.96,4.10,4.75,1.60,0.93,7.15,3.92,41.80
1949,2.06,3.24,3.32,4.14,3.70,4.19,6.74,5.78,1.53,5.13,1.45,2.52,43.80
1950,3.14,2.06,3.91,1.78,4.03,3.06,4.10,2.65,2.25,1.84,1.03,4.11,33.96
1951,1.07,1.80,5.22,2.62,0.59,7.03,2.75,1.50,3.55,1.09,3.20,4.79,35.21
1952,3.09,2.40,7.15,3.72,0.94,3.18,3.17,5.53,0.84,1.23,2.53,2.28,36.06
1953,4.22,4.49,2.10,2.79,3.53,2.40,2.44,2.43,3.04,0.46,1.24,2.67,31.81
1954,6.31,3.64,5.11,1.81,2.78,3.08,3.10,1.98,1.12,2.98,2.84,2.58,37.33
1955,1.11,3.09,4.14,3.55,4.86,2.97,3.06,3.71,0.98,1.35,1.95,0.93,31.70
1956,1.02,4.87,3.53,4.33,1.65,2.21,5.11,1.38,7.31,2.67,1.34,2.96,38.38
1957,4.02,3.13,1.57,6.76,1.73,6.65,1.43,0.98,4.26,2.18,6.22,3.36,42.29
1958,2.89,3.03,3.05,4.04,4.02,1.15,3.91,1.56,1.94,1.83,1.88,3.93,33.23
1959,2.96,1.51,3.37,4.70,7.33,1.53,3.38,3.41,8.33,5.09,1.01,1.97,44.59
1960,2.79,4.19,3.97,2.76,2.11,3.05,2.85,7.24,2.21,4.26,0.68,1.49,37.60
1961,1.45,5.18,3.19,2.98,3.04,4.44,2.54,8.13,1.07,2.36,4.85,6.19,45.42
1962,4.46,3.58,4.13,3.25,2.83,6.20,3.24,3.47,2.40,2.40,2.40,1.66,40.02
1963,1.73,1.76,7.66,3.02,2.53,2.71,2.93,3.83,3.64,0,4.42,2.44,36.67
1964,2.83,3.58,5.13,5.21,0.94,0.80,3.29,8.88,6.82,9.15,2.68,3.71,53.02
1965,2.16,4.60,5.10,2.62,3.33,4.12,4.47,4.03,4.69,2.92,1.30,0.16,39.50
1966,3.37,6.56,2.59,5.47,4.73,2.46,3.24,7.73,4.55,5.37,3.32,2.36,51.75
1967,2.02,2.20,2.86,1.11,6.79,4.45,6.90,11.28,2.53,3.30,2.54,6.13,52.11
1968,2.93,0.62,6.65,2.37,2.92,5.06,7.18,3.31,2.64,5.02,2.98,3.10,44.78
1969,2.64,5.08,4.01,3.53,3.32,3.82,7.53,6.47,3.04,2.63,1.91,4.63,48.61
1970,1.75,2.42,2.62,2.96,1.72,2.72,5.02,2.46,1.17,5.55,1.83,2.72,32.94
1971,2.53,4.93,3.48,2.06,3.54,5.00,5.47,3.03,3.80,7.05,2.84,4.32,48.05
1972,3.57,2.02,3.19,1.49,6.63,6.54,4.66,1.88,5.29,4.44,4.42,3.89,48.02
1973,4.26,4.23,8.91,5.71,8.83,3.87,6.95,4.57,3.12,2.41,3.57,8.48,64.91
1974,3.44,4.24,3.18,4.99,5.58,3.73,3.93,7.34,4.13,1.28,4.22,2.38,48.44
1975,3.86,4.56,9.86,0.61,8.17,2.12,3.31,3.63,7.53,3.94,4.89,4.44,56.92
1976,3.51,2.20,4.96,0.25,8.67,5.51,3.18,4.23,3.50,5.59,1.58,4.05,47.23
1977,2.09,1.02,7.29,4.05,3.96,5.11,1.03,3.68,9.12,3.79,6.88,2.43,50.45
1978,7.47,0.44,5.22,2.97,4.65,2.29,0.63,6.91,2.57,0.30,2.49,4.32,40.26
1979,6.81,5.14,5.72,7.26,5.35,2.20,5.52,3.63,5.60,1.40,7.76,1.05,57.44
1980,2.85,0.53,8.26,4.77,4.54,4.68,2.21,2.38,4.36,2.62,3.04,0.59,40.83
1981,0.45,4.80,3.24,2.07,7.50,4.41,2.06,0.52,1.36,2.19,1.19,4.79,34.58
1982,5.41,7.02,1.92,3.62,3.78,3.98,9.92,1.73,1.33,3.48,4.59,4.04,50.82
1983,3.39,5.63,6.27,5.27,3.48,3.71,1.06,0.95,5.66,4.43,4.77,8.30,52.92
1984,2.36,6.43,4.82,4.05,6.62,3.69,5.88,5.02,0.16,2.73,2.61,1.34,45.71
1985,2.95,4.74,0.77,2.74,1.59,1.47,4.37,7.04,1.25,3.41,4.91,0.70,35.94
1986,1.11,1.85,2.75,0.57,3.55,1.28,0.46,6.10,3.15,4.19,5.28,4.28,34.57
1987,3.49,6.17,2.85,3.67,1.87,8.94,1.86,1.79,6.79,0.36,3.09,2.33,43.21
1988,3.71,0.88,1.31,3.46,1.06,0.94,2.65,1.78,2.79,3.12,3.47,1.41,26.58
1989,1.65,4.61,2.91,3.17,5.54,10.73,8.33,4.98,8.17,2.98,4.27,3.29,60.63
1990,3.27,8.07,5.95,1.96,5.09,0.90,6.55,7.78,1.43,8.82,1.55,4.50,55.87
1991,3.25,1.66,6.13,5.38,2.41,5.27,6.07,3.83,1.27,0.19,3.34,4.86,43.66
1992,3.08,3.66,3.52,3.99,6.18,6.62,1.10,7.64,3.15,4.15,7.24,3.71,54.04
1993,3.82,2.03,6.16,3.21,4.59,1.12,2.07,5.29,1.56,1.21,3.32,3.59,37.97
1994,5.35,5.11,7.52,3.30,1.74,5.89,6.76,6.01,5.33,4.27,3.15,3.03,57.46
1995,7.03,2.93,2.42,0.98,6.04,8.89,3.61,9.22,1.95,7.23,3.66,1.43,55.39
1996,7.22,2.71,3.36,2.00,2.55,3.54,4.83,6.68,5.22,0.68,4.45,3.92,47.16
1997,4.44,5.29,5.48,5.26,2.91,8.29,2.97,1.37,4.89,3.90,1.60,2.98,49.38
1998,9.96,6.38,3.71,8.70,2.22,3.64,1.97,2.23,1.62,1.79,2.76,3.04,48.02
1999,6.38,3.29,2.82,2.44,2.53,4.39,3.85,3.37,2.20,3.29,3.31,1.98,39.85
2000,3.10,2.33,3.82,5.11,1.27,2.78,2.84,4.45,3.27,0.00,4.25,2.37,35.59
2001,2.63,2.73,5.00,1.32,2.47,2.91,5.50,3.20,4.37,0.60,1.42,2.34,34.49
2002,3.64,1.30,4.36,1.73,3.42,6.13,1.98,2.09,6.05,3.14,4.23,6.40,44.47
2003,1.19,4.47,4.34,5.25,8.36,6.16,10.88,6.80,3.01,2.33,3.89,2.78,59.46
2004,0.83,4.20,2.02,2.95,3.23,7.39,4.68,3.79,13.71,1.11,5.02,3.43,52.36
2005,2.00,2.57,3.33,2.86,1.65,10.09,10.26,5.71,0.34,1.20,3.74,3.51,47.26
2006,3.58,2.55,0.91,4.58,1.69,5.16,2.81,7.12,7.80,2.93,4.52,4.64,48.29
2007,3.35,1.45,4.29,1.77,0.96,2.91,4.85,2.84,3.40,3.02,1.49,4.06,34.39
2008,2.56,3.79,4.51,2.84,1.33,0.85,4.02,5.84,1.70,1.84,1.61,4.74,35.63
2009,2.40,1.87,4.07,3.54,9.18,6.41,2.88,3.69,8.17,5.50,5.26,9.16,62.13
2010,7.00,3.35,4.18,2.24,4.89,1.75,3.54,3.47,4.15,2.94,5.49,1.26,44.26
2011,2.12,2.97,6.95,4.33,2.95,3.83,3.33,3.00,3.74,2.39,5.32,5.11,46.04
2012,3.85,1.59,2.72,4.66,5.82,1.68,5.78,3.39,5.93,4.01,0.85,4.38,44.66
2013,8.58,3.56,3.32,5.88,7.78,8.97,13.69,6.98,3.05,2.19,3.55,7.67,75.22
2014,2.33,3.02,2.30,5.09,3.77,5.39,4.93,3.95,5.87,4.03,3.83,2.40,46.91
2015,3.06,2.78,2.12,4.94,1.35,6.42,2.66,2.77,4.50,7.17,7.82,8.76,54.35
2016,3.29,5.69,1.56,2.50,1.84,2.53,4.39,6.65,0.58,0.52,1.54,2.31,33.40
2017,3.72,0.70,3.92,7.65,7.03,2.71,4.53,6.35,3.75,9.68,1.59,2.47,54.10
2018,4.04,5.57,3.11,4.64,14.68,2.57,6.58,10.41,4.00,5.85,7.16,10.87,79.48
2019,5.28,6.91,2.63,8.97,3.35,6.90,3.69,3.98,0.90,7.78,2.57,4.29,57.25
2020,4.91,7.25,3.39,6.89,5.80,2.40,2.96,9.03,8.27,6.16,3.64,4.01,64.71
2021,3.03,4.45,9.29,1.82,3.37,5.85,5.38,10.95,2.92,5.64,0.88,0.93,54.51
2022,3.33,5.75,5.95,2.21,7.32,1.66,3.89,4.81,4.27,0.68,5.56,3.59,49.02
2023,4.99,2.78,1.92,5.79,3.58,1.92,3.56,4.13,1.66,0.70,0.93,6.46,38.42
2024,8.79,1.24,5.84,2.05,5.81,2.08,10.11,3.59,16.95,0,0,0